mode,model,subject,session,n_test,balanced_accuracy,accuracy,macro_f1,cohen_kappa
within_session,CSP+LDA,8,0train,132,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.9393939393939394
within_session,CSP+LDA,8,1test,134,0.9623440285204992,0.9626865671641791,0.9626345435279684,0.9253065774804905
within_session,CSP+LDA,9,0train,116,0.7964959568733153,0.8017241379310345,0.7983523543194014,0.5974652987326494
within_session,CSP+LDA,9,1test,130,0.9076923076923077,0.9076923076923077,0.9073414112615823,0.8153846153846154
within_session,CSP+linearSVM,1,0train,138,0.8913043478260869,0.8913043478260869,0.8912986399201807,0.782608695652174
within_session,CSP+linearSVM,1,1test,141,0.921830985915493,0.9219858156028369,0.9219229801157816,0.8439166750528329
within_session,CSP+linearSVM,2,0train,136,0.5442353450140602,0.5441176470588235,0.5441176470588235,0.08843243243243248
within_session,CSP+linearSVM,2,1test,142,0.5140845070422535,0.5140845070422535,0.5140604076774289,0.028169014084507005
within_session,CSP+linearSVM,3,0train,137,0.9562020460358056,0.9562043795620438,0.9562020460358056,0.9124040920716112
within_session,CSP+linearSVM,3,1test,137,0.9779317697228145,0.9781021897810219,0.9780835066389377,0.9561693505385518
within_session,CSP+linearSVM,4,0train,129,0.7148531535869043,0.7131782945736435,0.7131093346156158,0.427903631787127
within_session,CSP+linearSVM,4,1test,116,0.6816830211121023,0.6810344827586207,0.6808210009667583,0.3628266033254157
within_session,CSP+linearSVM,5,0train,129,0.5725108225108225,0.5736434108527132,0.5719973457199734,0.1452837007589448
within_session,CSP+linearSVM,5,1test,135,0.6247252747252747,0.6296296296296297,0.6204453441295547,0.25166297117516623
within_session,CSP+linearSVM,6,0train,113,0.6544486215538847,0.6548672566371682,0.653891463127307,0.30913936353660454
within_session,CSP+linearSVM,6,1test,108,0.655746140651801,0.6574074074074074,0.6538161656415143,0.31245698554714385
within_session,CSP+linearSVM,7,0train,133,0.767073722297603,0.7669172932330827,0.7668645744981624,0.5339663162654007
within_session,CSP+linearSVM,7,1test,140,0.942845478669116,0.9428571428571428,0.942845478669116,0.8856909573382323
within_session,CSP+linearSVM,8,0train,132,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9090909090909091
within_session,CSP+linearSVM,8,1test,134,0.9850713012477719,0.9850746268656716,0.9850713012477719,0.9701426024955436
within_session,CSP+linearSVM,9,0train,116,0.8262952979934113,0.8275862068965517,0.8262952979934113,0.6525905959868223
within_session,CSP+linearSVM,9,1test,130,0.8769230769230769,0.8769230769230769,0.8768939393939394,0.7538461538461538
