mode,fold_id,model,n_train,n_test,fit_predict_seconds,balanced_accuracy,accuracy,macro_f1,cohen_kappa
within_session,within_s3_0train_run5,CSP+linearSVM,113,24,0.1331172000063816,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.6666666666666667
within_session,within_s3_1test_run0,CSP+LDA,115,22,0.1493176000076346,1.0,1.0,1.0,1.0
within_session,within_s3_1test_run0,CSP+linearSVM,115,22,0.16346470000280533,0.9545454545454546,0.9545454545454546,0.9544513457556936,0.9090909090909091
within_session,within_s3_1test_run1,CSP+LDA,114,23,0.14145740000822116,1.0,1.0,1.0,1.0
within_session,within_s3_1test_run1,CSP+linearSVM,114,23,0.13686160001088865,1.0,1.0,1.0,1.0
within_session,within_s3_1test_run2,CSP+LDA,113,24,0.17141320000519045,1.0,1.0,1.0,1.0
within_session,within_s3_1test_run2,CSP+linearSVM,113,24,0.14253409999946598,1.0,1.0,1.0,1.0
within_session,within_s3_1test_run3,CSP+LDA,115,22,0.15098069999658037,0.95,0.9545454545454546,0.9536842105263157,0.907563025210084
within_session,within_s3_1test_run3,CSP+linearSVM,115,22,0.15807749998930376,0.95,0.9545454545454546,0.9536842105263157,0.907563025210084
within_session,within_s3_1test_run4,CSP+LDA,113,24,0.13684189999185037,1.0,1.0,1.0,1.0
within_session,within_s3_1test_run4,CSP+linearSVM,113,24,0.13105590001214296,1.0,1.0,1.0,1.0
within_session,within_s3_1test_run5,CSP+LDA,115,22,0.15464549999160226,0.9545454545454546,0.9545454545454546,0.9544513457556936,0.9090909090909091
within_session,within_s3_1test_run5,CSP+linearSVM,115,22,0.14987639999890234,0.9545454545454546,0.9545454545454546,0.9544513457556936,0.9090909090909091
within_session,within_s4_0train_run0,CSP+LDA,106,23,0.12995099999534432,0.6553030303030303,0.6521739130434783,0.6515151515151515,0.30827067669172936
within_session,within_s4_0train_run0,CSP+linearSVM,106,23,0.14591839999775402,0.7007575757575758,0.6956521739130435,0.6933333333333334,0.39700374531835203
within_session,within_s4_0train_run1,CSP+LDA,108,21,0.1516379000095185,0.6181818181818182,0.6190476190476191,0.6181818181818182,0.23636363636363633
within_session,within_s4_0train_run1,CSP+linearSVM,108,21,0.1262259999930393,0.6636363636363636,0.6666666666666666,0.6636155606407322,0.3287671232876712
within_session,within_s4_0train_run2,CSP+LDA,106,23,0.12261890000081621,0.9090909090909092,0.9130434782608695,0.9115384615384616,0.8244274809160306
within_session,within_s4_0train_run2,CSP+linearSVM,106,23,0.1413105999963591,0.8636363636363636,0.8695652173913043,0.8654970760233918,0.735632183908046
within_session,within_s4_0train_run3,CSP+LDA,108,21,0.1399033000052441,0.6681818181818182,0.6666666666666666,0.6666666666666666,0.33484162895927605
within_session,within_s4_0train_run3,CSP+linearSVM,108,21,0.1479764000105206,0.5772727272727273,0.5714285714285714,0.5675057208237986,0.15246636771300448
within_session,within_s4_0train_run4,CSP+LDA,109,20,0.12984619999770075,0.6616161616161615,0.65,0.6491228070175439,0.3137254901960784
within_session,within_s4_0train_run4,CSP+linearSVM,109,20,0.17528109998966102,0.6616161616161615,0.65,0.6491228070175439,0.3137254901960784
within_session,within_s4_0train_run5,CSP+LDA,108,21,0.13852290000068024,0.8090909090909091,0.8095238095238095,0.8090909090909091,0.6181818181818182
within_session,within_s4_0train_run5,CSP+linearSVM,108,21,0.12525980001373682,0.8045454545454545,0.8095238095238095,0.8055555555555556,0.6146788990825689
within_session,within_s4_1test_run0,CSP+LDA,96,20,0.12634129999787547,0.55,0.55,0.5396419437340154,0.09999999999999998
within_session,within_s4_1test_run0,CSP+linearSVM,96,20,0.11019729998952243,0.6,0.6,0.595959595959596,0.19999999999999996
within_session,within_s4_1test_run1,CSP+LDA,96,20,0.1352446999953827,0.6458333333333333,0.7,0.6428571428571428,0.31818181818181823
within_session,within_s4_1test_run1,CSP+linearSVM,96,20,0.11824110000452492,0.7083333333333333,0.75,0.7150997150997151,0.4444444444444444
within_session,within_s4_1test_run2,CSP+LDA,97,19,0.10611890000291169,0.6833333333333333,0.6842105263157895,0.6833333333333333,0.3666666666666666
within_session,within_s4_1test_run2,CSP+linearSVM,97,19,0.12126880000869278,0.6833333333333333,0.6842105263157895,0.6833333333333333,0.3666666666666666
within_session,within_s4_1test_run3,CSP+LDA,95,21,0.1291649999911897,0.6527777777777778,0.6666666666666666,0.6541176470588235,0.3098591549295774
within_session,within_s4_1test_run3,CSP+linearSVM,95,21,0.10423549999541137,0.6944444444444444,0.7142857142857143,0.6971153846153846,0.4
within_session,within_s4_1test_run4,CSP+LDA,101,15,0.10984400000597816,0.8571428571428572,0.8666666666666667,0.8611111111111112,0.7272727272727273
within_session,within_s4_1test_run4,CSP+linearSVM,101,15,0.11372819999814965,0.8571428571428572,0.8666666666666667,0.8611111111111112,0.7272727272727273
within_session,within_s4_1test_run5,CSP+LDA,95,21,0.10376889999315608,0.49090909090909096,0.47619047619047616,0.4296296296296296,-0.017621145374449254
within_session,within_s4_1test_run5,CSP+linearSVM,95,21,0.10466689999157097,0.5363636363636364,0.5238095238095238,0.4951923076923077,0.07079646017699126
within_session,within_s5_0train_run0,CSP+LDA,109,20,0.1284612999879755,0.6,0.6,0.6,0.19999999999999996
