fold,subject,seed,stratum,true_label,predicted_label,count,condition,condition_name,fixed_epochs,normalization,model
loso_s3,3,20260924,all,4,1,6,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260924,all,4,2,7,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260924,all,4,3,17,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260924,all,4,4,114,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260924,unflagged,1,1,97,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260924,unflagged,1,2,2,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260924,unflagged,1,3,10,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260924,unflagged,1,4,27,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260924,unflagged,2,1,9,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260924,unflagged,2,2,109,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260924,unflagged,2,3,4,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260924,unflagged,2,4,16,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260924,unflagged,3,1,20,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260924,unflagged,3,2,31,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260924,unflagged,3,3,53,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260924,unflagged,3,4,30,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260924,unflagged,4,1,6,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260924,unflagged,4,2,7,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260924,unflagged,4,3,16,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260924,unflagged,4,4,106,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260924,flagged,1,1,5,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260924,flagged,1,2,0,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260924,flagged,1,3,1,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260924,flagged,1,4,2,C,Raw_plus_16epochs,16,False,EEGNet
