fold,subject,seed,model,stratum,true_label,predicted_label,count
loso_s3,3,20260925,EEGNet,unflagged,1,1,135
loso_s3,3,20260925,EEGNet,unflagged,1,2,1
loso_s3,3,20260925,EEGNet,unflagged,1,3,0
loso_s3,3,20260925,EEGNet,unflagged,1,4,0
loso_s3,3,20260925,EEGNet,unflagged,2,1,137
loso_s3,3,20260925,EEGNet,unflagged,2,2,1
loso_s3,3,20260925,EEGNet,unflagged,2,3,0
loso_s3,3,20260925,EEGNet,unflagged,2,4,0
loso_s3,3,20260925,EEGNet,unflagged,3,1,133
loso_s3,3,20260925,EEGNet,unflagged,3,2,1
loso_s3,3,20260925,EEGNet,unflagged,3,3,0
loso_s3,3,20260925,EEGNet,unflagged,3,4,0
loso_s3,3,20260925,EEGNet,unflagged,4,1,132
loso_s3,3,20260925,EEGNet,unflagged,4,2,2
loso_s3,3,20260925,EEGNet,unflagged,4,3,1
loso_s3,3,20260925,EEGNet,unflagged,4,4,0
loso_s3,3,20260925,EEGNet,flagged,1,1,8
loso_s3,3,20260925,EEGNet,flagged,1,2,0
loso_s3,3,20260925,EEGNet,flagged,1,3,0
loso_s3,3,20260925,EEGNet,flagged,1,4,0
loso_s3,3,20260925,EEGNet,flagged,2,1,5
loso_s3,3,20260925,EEGNet,flagged,2,2,1
loso_s3,3,20260925,EEGNet,flagged,2,3,0
loso_s3,3,20260925,EEGNet,flagged,2,4,0
loso_s3,3,20260925,EEGNet,flagged,3,1,10
loso_s3,3,20260925,EEGNet,flagged,3,2,0
loso_s3,3,20260925,EEGNet,flagged,3,3,0
loso_s3,3,20260925,EEGNet,flagged,3,4,0
loso_s3,3,20260925,EEGNet,flagged,4,1,7
loso_s3,3,20260925,EEGNet,flagged,4,2,2
loso_s3,3,20260925,EEGNet,flagged,4,3,0
loso_s3,3,20260925,EEGNet,flagged,4,4,0
loso_s3,3,20260926,EEGNet,all,1,1,133
loso_s3,3,20260926,EEGNet,all,1,2,11
loso_s3,3,20260926,EEGNet,all,1,3,0
loso_s3,3,20260926,EEGNet,all,1,4,0
loso_s3,3,20260926,EEGNet,all,2,1,116
loso_s3,3,20260926,EEGNet,all,2,2,28
loso_s3,3,20260926,EEGNet,all,2,3,0
loso_s3,3,20260926,EEGNet,all,2,4,0
loso_s3,3,20260926,EEGNet,all,3,1,118
loso_s3,3,20260926,EEGNet,all,3,2,26
loso_s3,3,20260926,EEGNet,all,3,3,0
loso_s3,3,20260926,EEGNet,all,3,4,0
loso_s3,3,20260926,EEGNet,all,4,1,119
loso_s3,3,20260926,EEGNet,all,4,2,25
loso_s3,3,20260926,EEGNet,all,4,3,0
loso_s3,3,20260926,EEGNet,all,4,4,0
loso_s3,3,20260926,EEGNet,unflagged,1,1,126
loso_s3,3,20260926,EEGNet,unflagged,1,2,10
loso_s3,3,20260926,EEGNet,unflagged,1,3,0
loso_s3,3,20260926,EEGNet,unflagged,1,4,0
loso_s3,3,20260926,EEGNet,unflagged,2,1,110
loso_s3,3,20260926,EEGNet,unflagged,2,2,28
loso_s3,3,20260926,EEGNet,unflagged,2,3,0
loso_s3,3,20260926,EEGNet,unflagged,2,4,0
loso_s3,3,20260926,EEGNet,unflagged,3,1,109
loso_s3,3,20260926,EEGNet,unflagged,3,2,25
loso_s3,3,20260926,EEGNet,unflagged,3,3,0
loso_s3,3,20260926,EEGNet,unflagged,3,4,0
