condition,subject,true_class,predicted_class,count
MUBETA_LOGE_SVM,7,2,3,75
MUBETA_LOGE_SVM,7,2,4,20
MUBETA_LOGE_SVM,7,3,1,55
MUBETA_LOGE_SVM,7,3,2,20
MUBETA_LOGE_SVM,7,3,3,58
MUBETA_LOGE_SVM,7,3,4,11
MUBETA_LOGE_SVM,7,4,1,21
MUBETA_LOGE_SVM,7,4,2,11
MUBETA_LOGE_SVM,7,4,3,88
MUBETA_LOGE_SVM,7,4,4,24
MUBETA_LOGE_SVM,8,1,1,55
MUBETA_LOGE_SVM,8,1,2,75
MUBETA_LOGE_SVM,8,1,3,9
MUBETA_LOGE_SVM,8,1,4,5
MUBETA_LOGE_SVM,8,2,1,0
MUBETA_LOGE_SVM,8,2,2,140
MUBETA_LOGE_SVM,8,2,3,1
MUBETA_LOGE_SVM,8,2,4,3
MUBETA_LOGE_SVM,8,3,1,4
MUBETA_LOGE_SVM,8,3,2,115
MUBETA_LOGE_SVM,8,3,3,22
MUBETA_LOGE_SVM,8,3,4,3
MUBETA_LOGE_SVM,8,4,1,1
MUBETA_LOGE_SVM,8,4,2,111
MUBETA_LOGE_SVM,8,4,3,7
MUBETA_LOGE_SVM,8,4,4,25
MUBETA_LOGE_SVM,9,1,1,53
MUBETA_LOGE_SVM,9,1,2,23
MUBETA_LOGE_SVM,9,1,3,15
MUBETA_LOGE_SVM,9,1,4,53
MUBETA_LOGE_SVM,9,2,1,4
MUBETA_LOGE_SVM,9,2,2,20
MUBETA_LOGE_SVM,9,2,3,12
MUBETA_LOGE_SVM,9,2,4,108
MUBETA_LOGE_SVM,9,3,1,1
MUBETA_LOGE_SVM,9,3,2,4
MUBETA_LOGE_SVM,9,3,3,60
MUBETA_LOGE_SVM,9,3,4,79
MUBETA_LOGE_SVM,9,4,1,1
MUBETA_LOGE_SVM,9,4,2,0
MUBETA_LOGE_SVM,9,4,3,6
MUBETA_LOGE_SVM,9,4,4,137
