fold,subject,seed,stratum,true_label,predicted_label,count,model
loso_s3,3,20260925,flagged,1,3,0,EEGNet
loso_s3,3,20260925,flagged,1,4,3,EEGNet
loso_s3,3,20260925,flagged,2,1,0,EEGNet
loso_s3,3,20260925,flagged,2,2,2,EEGNet
loso_s3,3,20260925,flagged,2,3,1,EEGNet
loso_s3,3,20260925,flagged,2,4,3,EEGNet
loso_s3,3,20260925,flagged,3,1,0,EEGNet
loso_s3,3,20260925,flagged,3,2,1,EEGNet
loso_s3,3,20260925,flagged,3,3,3,EEGNet
loso_s3,3,20260925,flagged,3,4,6,EEGNet
loso_s3,3,20260925,flagged,4,1,0,EEGNet
loso_s3,3,20260925,flagged,4,2,0,EEGNet
loso_s3,3,20260925,flagged,4,3,0,EEGNet
loso_s3,3,20260925,flagged,4,4,9,EEGNet
loso_s3,3,20260926,all,1,1,120,EEGNet
loso_s3,3,20260926,all,1,2,11,EEGNet
loso_s3,3,20260926,all,1,3,7,EEGNet
loso_s3,3,20260926,all,1,4,6,EEGNet
loso_s3,3,20260926,all,2,1,5,EEGNet
loso_s3,3,20260926,all,2,2,131,EEGNet
loso_s3,3,20260926,all,2,3,2,EEGNet
loso_s3,3,20260926,all,2,4,6,EEGNet
loso_s3,3,20260926,all,3,1,13,EEGNet
loso_s3,3,20260926,all,3,2,29,EEGNet
loso_s3,3,20260926,all,3,3,83,EEGNet
loso_s3,3,20260926,all,3,4,19,EEGNet
loso_s3,3,20260926,all,4,1,4,EEGNet
loso_s3,3,20260926,all,4,2,5,EEGNet
loso_s3,3,20260926,all,4,3,30,EEGNet
loso_s3,3,20260926,all,4,4,105,EEGNet
loso_s3,3,20260926,unflagged,1,1,114,EEGNet
loso_s3,3,20260926,unflagged,1,2,11,EEGNet
loso_s3,3,20260926,unflagged,1,3,6,EEGNet
loso_s3,3,20260926,unflagged,1,4,5,EEGNet
loso_s3,3,20260926,unflagged,2,1,5,EEGNet
loso_s3,3,20260926,unflagged,2,2,125,EEGNet
loso_s3,3,20260926,unflagged,2,3,2,EEGNet
loso_s3,3,20260926,unflagged,2,4,6,EEGNet
loso_s3,3,20260926,unflagged,3,1,12,EEGNet
loso_s3,3,20260926,unflagged,3,2,23,EEGNet
loso_s3,3,20260926,unflagged,3,3,81,EEGNet
loso_s3,3,20260926,unflagged,3,4,18,EEGNet
loso_s3,3,20260926,unflagged,4,1,4,EEGNet
loso_s3,3,20260926,unflagged,4,2,4,EEGNet
loso_s3,3,20260926,unflagged,4,3,27,EEGNet
loso_s3,3,20260926,unflagged,4,4,100,EEGNet
loso_s3,3,20260926,flagged,1,1,6,EEGNet
loso_s3,3,20260926,flagged,1,2,0,EEGNet
loso_s3,3,20260926,flagged,1,3,1,EEGNet
loso_s3,3,20260926,flagged,1,4,1,EEGNet
loso_s3,3,20260926,flagged,2,1,0,EEGNet
loso_s3,3,20260926,flagged,2,2,6,EEGNet
loso_s3,3,20260926,flagged,2,3,0,EEGNet
loso_s3,3,20260926,flagged,2,4,0,EEGNet
loso_s3,3,20260926,flagged,3,1,1,EEGNet
loso_s3,3,20260926,flagged,3,2,6,EEGNet
loso_s3,3,20260926,flagged,3,3,2,EEGNet
loso_s3,3,20260926,flagged,3,4,1,EEGNet
loso_s3,3,20260926,flagged,4,1,0,EEGNet
loso_s3,3,20260926,flagged,4,2,1,EEGNet
loso_s3,3,20260926,flagged,4,3,3,EEGNet
loso_s3,3,20260926,flagged,4,4,5,EEGNet
loso_s4,4,20260924,all,1,1,79,EEGNet
loso_s4,4,20260924,all,1,2,31,EEGNet
loso_s4,4,20260924,all,1,3,34,EEGNet
loso_s4,4,20260924,all,1,4,0,EEGNet
loso_s4,4,20260924,all,2,1,34,EEGNet
loso_s4,4,20260924,all,2,2,86,EEGNet
loso_s4,4,20260924,all,2,3,23,EEGNet
loso_s4,4,20260924,all,2,4,1,EEGNet
loso_s4,4,20260924,all,3,1,71,EEGNet
loso_s4,4,20260924,all,3,2,25,EEGNet
loso_s4,4,20260924,all,3,3,31,EEGNet
loso_s4,4,20260924,all,3,4,17,EEGNet
loso_s4,4,20260924,all,4,1,46,EEGNet
loso_s4,4,20260924,all,4,2,52,EEGNet
loso_s4,4,20260924,all,4,3,27,EEGNet
loso_s4,4,20260924,all,4,4,19,EEGNet
loso_s4,4,20260924,unflagged,1,1,68,EEGNet
loso_s4,4,20260924,unflagged,1,2,28,EEGNet
loso_s4,4,20260924,unflagged,1,3,25,EEGNet
loso_s4,4,20260924,unflagged,1,4,0,EEGNet
loso_s4,4,20260924,unflagged,2,1,30,EEGNet
loso_s4,4,20260924,unflagged,2,2,71,EEGNet
loso_s4,4,20260924,unflagged,2,3,22,EEGNet
loso_s4,4,20260924,unflagged,2,4,1,EEGNet
loso_s4,4,20260924,unflagged,3,1,61,EEGNet
loso_s4,4,20260924,unflagged,3,2,21,EEGNet
loso_s4,4,20260924,unflagged,3,3,27,EEGNet
loso_s4,4,20260924,unflagged,3,4,17,EEGNet
loso_s4,4,20260924,unflagged,4,1,38,EEGNet
loso_s4,4,20260924,unflagged,4,2,43,EEGNet
loso_s4,4,20260924,unflagged,4,3,22,EEGNet
loso_s4,4,20260924,unflagged,4,4,16,EEGNet
