contrast,subject,mean_seed_paired_delta_ba,delta_seed_20260924,delta_seed_20260925,delta_seed_20260926
Q9-E002/MU_BETA_SHARED_Q8_EPOCHS minus Q8-E001,3,0.006365740740740737,0.00868055555555558,0.05555555555555558,-0.04513888888888895
Q9-E002/MU_BETA_SHARED_Q8_EPOCHS minus Q8-E001,4,0.012731481481481474,0.01909722222222221,0.032986111111111105,-0.013888888888888895
Q9-E002/MU_BETA_SHARED_Q8_EPOCHS minus Q8-E001,5,0.005787037037037053,0.00868055555555558,-0.001736111111111105,0.010416666666666685
Q9-E002/MU_BETA_SHARED_Q8_EPOCHS minus Q8-E001,6,-0.013310185185185194,0.005208333333333315,-0.001736111111111105,-0.04340277777777779
Q9-E002/MU_BETA_SHARED_Q8_EPOCHS minus Q8-E001,7,0.037615740740740755,0.08506944444444448,0.0,0.02777777777777779
Q9-E002/MU_BETA_SHARED_Q8_EPOCHS minus Q8-E001,8,-0.020254629629629612,0.06597222222222221,0.01388888888888895,-0.140625
Q9-E002/MU_BETA_SHARED_Q8_EPOCHS minus Q8-E001,9,0.007523148148148158,-0.02951388888888884,0.03298611111111105,0.019097222222222265
Q9-E004/MU_BETA_SHARED_SOURCE_CLEAN minus Q8-E001,1,-0.013310185185185194,0.01388888888888884,-0.00347222222222221,-0.05034722222222221
Q9-E004/MU_BETA_SHARED_SOURCE_CLEAN minus Q8-E001,2,-0.00868055555555558,0.0034722222222221544,0.03819444444444442,-0.06770833333333331
Q9-E004/MU_BETA_SHARED_SOURCE_CLEAN minus Q8-E001,3,0.00347222222222221,0.01736111111111105,-0.02604166666666663,0.01909722222222221
Q9-E004/MU_BETA_SHARED_SOURCE_CLEAN minus Q8-E001,4,-0.017939814814814825,-0.010416666666666685,-0.013888888888888895,-0.029513888888888895
Q9-E004/MU_BETA_SHARED_SOURCE_CLEAN minus Q8-E001,5,-0.009259259259259264,0.00347222222222221,-0.03125,0.0
Q9-E004/MU_BETA_SHARED_SOURCE_CLEAN minus Q8-E001,6,-0.006365740740740755,0.01041666666666663,0.00347222222222221,-0.032986111111111105
Q9-E004/MU_BETA_SHARED_SOURCE_CLEAN minus Q8-E001,7,0.044560185185185196,0.09375,0.00868055555555558,0.03125
Q9-E004/MU_BETA_SHARED_SOURCE_CLEAN minus Q8-E001,8,-0.049768518518518524,0.04166666666666663,-0.03124999999999989,-0.15972222222222232
Q9-E004/MU_BETA_SHARED_SOURCE_CLEAN minus Q8-E001,9,0.006944444444444438,-0.01041666666666663,0.015625,0.015624999999999944
Q9-E005/MU_BETA_SHARED_SOURCE_NORM minus Q8-E001,1,0.018518518518518528,0.04513888888888895,0.03993055555555558,-0.02951388888888895
Q9-E005/MU_BETA_SHARED_SOURCE_NORM minus Q8-E001,2,0.009259259259259264,0.029513888888888895,0.02777777777777779,-0.029513888888888895
Q9-E005/MU_BETA_SHARED_SOURCE_NORM minus Q8-E001,3,-0.06539351851851849,0.00694444444444442,-0.0815972222222221,-0.12152777777777779
Q9-E005/MU_BETA_SHARED_SOURCE_NORM minus Q8-E001,4,-0.00752314814814814,0.00520833333333337,0.024305555555555525,-0.052083333333333315
Q9-E005/MU_BETA_SHARED_SOURCE_NORM minus Q8-E001,5,-0.007523148148148158,-0.010416666666666685,-0.015625,0.00347222222222221
Q9-E005/MU_BETA_SHARED_SOURCE_NORM minus Q8-E001,6,0.005787037037037035,0.036458333333333315,0.03125,-0.05034722222222221
Q9-E005/MU_BETA_SHARED_SOURCE_NORM minus Q8-E001,7,0.025462962962962965,0.07118055555555558,-0.01215277777777779,0.017361111111111105
Q9-E005/MU_BETA_SHARED_SOURCE_NORM minus Q8-E001,8,-0.08101851851851849,0.02083333333333337,-0.11111111111111105,-0.1527777777777778
Q9-E005/MU_BETA_SHARED_SOURCE_NORM minus Q8-E001,9,-0.0005787037037037016,-0.03819444444444442,0.02083333333333337,0.015624999999999944
Q9-E001/MID_8_30 minus Q9-E001/MU_BETA_SHARED,1,0.04398148148148151,-0.01388888888888884,0.02083333333333337,0.125
Q9-E001/MID_8_30 minus Q9-E001/MU_BETA_SHARED,2,0.01041666666666663,-0.03125,0.019097222222222154,0.043402777777777735
Q9-E001/MID_8_30 minus Q9-E001/MU_BETA_SHARED,3,0.07118055555555554,0.10243055555555547,-0.07638888888888884,0.1875
