condition,subject,seed,true_class,predicted_class,n_trials
Q6-E001,6,20260925,3,3,27
Q6-E001,6,20260925,3,4,109
Q6-E001,6,20260925,4,1,4
Q6-E001,6,20260925,4,2,2
Q6-E001,6,20260925,4,3,30
Q6-E001,6,20260925,4,4,108
Q6-E001,6,20260926,1,1,11
Q6-E001,6,20260926,1,2,11
Q6-E001,6,20260926,1,3,109
Q6-E001,6,20260926,1,4,13
Q6-E001,6,20260926,2,1,3
Q6-E001,6,20260926,2,2,26
Q6-E001,6,20260926,2,3,100
Q6-E001,6,20260926,2,4,15
Q6-E001,6,20260926,3,1,5
Q6-E001,6,20260926,3,2,8
Q6-E001,6,20260926,3,3,101
Q6-E001,6,20260926,3,4,30
Q6-E001,6,20260926,4,1,3
Q6-E001,6,20260926,4,2,8
Q6-E001,6,20260926,4,3,114
Q6-E001,6,20260926,4,4,19
Q6-E001,7,20260924,1,1,92
Q6-E001,7,20260924,1,2,47
Q6-E001,7,20260924,1,3,2
Q6-E001,7,20260924,1,4,3
Q6-E001,7,20260924,2,1,87
Q6-E001,7,20260924,2,2,53
Q6-E001,7,20260924,2,3,3
Q6-E001,7,20260924,2,4,1
Q6-E001,7,20260924,3,1,70
Q6-E001,7,20260924,3,2,65
Q6-E001,7,20260924,3,3,8
