condition,subject,seed,balanced_accuracy,accuracy,n_trials,n_classes_present,zero_recall_count,zero_recall_classes,dominant_prediction_share,prediction_entropy_bits,recall_class_1,recall_class_2,recall_class_3,recall_class_4
Q9-E001/MID_8_30,4,20260924,0.3194444444444445,0.3194444444444444,576,4,0,,0.7708333333333334,1.1330817548496053,0.11805555555555555,0.9583333333333334,0.0763888888888889,0.125
Q9-E001/MID_8_30,4,20260925,0.3802083333333333,0.3802083333333333,576,4,0,,0.3993055555555556,1.6849522257579852,0.2708333333333333,0.6944444444444444,0.4722222222222222,0.08333333333333333
Q9-E001/MID_8_30,4,20260926,0.3576388888888889,0.3576388888888889,576,4,0,,0.5572916666666666,1.3413413561838112,0.027777777777777776,0.6319444444444444,0.6944444444444444,0.0763888888888889
Q9-E001/MID_8_30,5,20260924,0.2517361111111111,0.2517361111111111,576,4,2,3;4,0.9496527777777778,0.2878701050426109,0.9583333333333334,0.04861111111111111,0.0,0.0
Q9-E001/MID_8_30,5,20260925,0.234375,0.234375,576,4,2,3;4,0.6857638888888888,0.8980029553094584,0.25,0.6875,0.0,0.0
Q9-E001/MID_8_30,5,20260926,0.26041666666666663,0.2604166666666667,576,4,2,3;4,0.8506944444444444,0.6080997253734929,0.8888888888888888,0.1527777777777778,0.0,0.0
Q9-E001/MID_8_30,6,20260924,0.2829861111111111,0.2829861111111111,576,4,0,,0.7795138888888888,1.0772004648935558,0.06944444444444445,0.18055555555555555,0.7847222222222222,0.09722222222222222
Q9-E001/MID_8_30,6,20260925,0.2777777777777778,0.2777777777777778,576,4,0,,0.4444444444444444,1.5334016770266754,0.14583333333333334,0.13194444444444445,0.2986111111111111,0.5347222222222222
Q9-E001/MID_8_30,6,20260926,0.2847222222222222,0.2847222222222222,576,4,0,,0.4444444444444444,1.5242226965757575,0.034722222222222224,0.24305555555555555,0.3819444444444444,0.4791666666666667
Q9-E001/MID_8_30,7,20260924,0.3489583333333333,0.3489583333333333,576,4,0,,0.5486111111111112,1.5758510501083336,0.6180555555555556,0.3958333333333333,0.10416666666666667,0.2777777777777778
Q9-E001/MID_8_30,7,20260925,0.3506944444444444,0.3506944444444444,576,4,0,,0.4930555555555556,1.6059660331342354,0.6041666666666666,0.4236111111111111,0.0763888888888889,0.2986111111111111
Q9-E001/MID_8_30,7,20260926,0.33854166666666663,0.3385416666666667,576,4,0,,0.4618055555555556,1.7298619319837278,0.3125,0.5138888888888888,0.125,0.4027777777777778
