condition,subject,seed,dimension,stratum,n_trials,n_classes_present,balanced_accuracy_observed_classes,accuracy,recall_class_1,recall_class_2,recall_class_3,recall_class_4
Q9-E001/MID_8_30,5,20260924,session,0train,288,4,0.2638888888888889,0.2638888888888889,0.9861111111111112,0.06944444444444445,0.0,0.0
Q9-E001/MID_8_30,5,20260924,session,1test,288,4,0.23958333333333334,0.23958333333333334,0.9305555555555556,0.027777777777777776,0.0,0.0
Q9-E001/MID_8_30,5,20260925,artifact,False,538,4,0.23375710268036504,0.22862453531598512,0.2556390977443609,0.6793893129770993,0.0,0.0
Q9-E001/MID_8_30,5,20260925,artifact,True,38,4,0.23776223776223776,0.3157894736842105,0.18181818181818182,0.7692307692307693,0.0,0.0
Q9-E001/MID_8_30,5,20260925,session,0train,288,4,0.21875,0.21875,0.20833333333333334,0.6666666666666666,0.0,0.0
Q9-E001/MID_8_30,5,20260925,session,1test,288,4,0.25,0.25,0.2916666666666667,0.7083333333333334,0.0,0.0
Q9-E001/MID_8_30,5,20260926,artifact,False,538,4,0.2561556563163634,0.2527881040892193,0.8872180451127819,0.13740458015267176,0.0,0.0
Q9-E001/MID_8_30,5,20260926,artifact,True,38,4,0.30419580419580416,0.3684210526315789,0.9090909090909091,0.3076923076923077,0.0,0.0
Q9-E001/MID_8_30,5,20260926,session,0train,288,4,0.2708333333333333,0.2708333333333333,0.9027777777777778,0.18055555555555555,0.0,0.0
Q9-E001/MID_8_30,5,20260926,session,1test,288,4,0.25,0.25,0.875,0.125,0.0,0.0
Q9-E001/MID_8_30,6,20260924,artifact,False,434,4,0.2915254773395305,0.2834101382488479,0.07339449541284404,0.1875,0.7961165048543689,0.10909090909090909
Q9-E001/MID_8_30,6,20260924,artifact,True,142,4,0.2570784868825579,0.28169014084507044,0.05714285714285714,0.15625,0.7560975609756098,0.058823529411764705
