subject,model,seed,n_trials,balanced_accuracy,true_left_pred_left,true_left_pred_right,true_right_pred_left,true_right_pred_right,predicted_left_share
3,BROAD_EEGNET,20260925,45,0.441699604743083,13,10,15,7,0.6222222222222222
3,BROAD_EEGNET,20260926,45,0.4654150197628458,12,11,13,9,0.5555555555555556
3,CSP4_LDA,deterministic,45,0.48122529644268774,19,4,19,3,0.8444444444444444
3,MU_BETA_SHARED,20260924,45,0.4654150197628458,12,11,13,9,0.5555555555555556
3,MU_BETA_SHARED,20260925,45,0.4634387351778656,14,9,15,7,0.6444444444444445
3,MU_BETA_SHARED,20260926,45,0.44367588932806323,11,12,13,9,0.5333333333333333
30,BROAD_EEGNET,20260924,45,0.5714285714285714,24,0,18,3,0.9333333333333333
30,BROAD_EEGNET,20260925,45,0.5982142857142857,23,1,16,5,0.8666666666666667
30,BROAD_EEGNET,20260926,45,0.5803571428571428,21,3,15,6,0.8
30,CSP4_LDA,deterministic,45,0.5714285714285714,24,0,18,3,0.9333333333333333
30,MU_BETA_SHARED,20260924,45,0.5238095238095238,24,0,20,1,0.9777777777777777
30,MU_BETA_SHARED,20260925,45,0.5714285714285714,24,0,18,3,0.9333333333333333
30,MU_BETA_SHARED,20260926,45,0.5,24,0,21,0,1.0
31,BROAD_EEGNET,20260924,45,0.8023715415019763,20,2,7,16,0.6
31,BROAD_EEGNET,20260925,45,0.8013833992094861,19,3,6,17,0.5555555555555556
31,BROAD_EEGNET,20260926,45,0.8231225296442688,19,3,5,18,0.5333333333333333
31,CSP4_LDA,deterministic,45,0.7361660079051384,19,3,9,14,0.6222222222222222
31,MU_BETA_SHARED,20260924,45,0.7806324110671936,20,2,8,15,0.6222222222222222
31,MU_BETA_SHARED,20260925,45,0.866600790513834,19,3,3,20,0.4888888888888889
31,MU_BETA_SHARED,20260926,45,0.8033596837944664,21,1,8,15,0.6444444444444445
32,BROAD_EEGNET,20260924,45,0.5505952380952381,3,18,1,23,0.08888888888888889
32,BROAD_EEGNET,20260925,45,0.5476190476190477,2,19,0,24,0.044444444444444446
32,BROAD_EEGNET,20260926,45,0.5773809523809523,5,16,2,22,0.15555555555555556
32,CSP4_LDA,deterministic,45,0.5803571428571428,13,8,11,13,0.5333333333333333
32,MU_BETA_SHARED,20260924,45,0.5982142857142857,5,16,1,23,0.13333333333333333
32,MU_BETA_SHARED,20260925,45,0.5773809523809523,5,16,2,22,0.15555555555555556
32,MU_BETA_SHARED,20260926,45,0.5297619047619048,3,18,2,22,0.1111111111111111
33,BROAD_EEGNET,20260924,45,0.7104743083003953,17,6,7,15,0.5333333333333333
33,BROAD_EEGNET,20260925,45,0.7786561264822134,17,6,4,18,0.4666666666666667
33,BROAD_EEGNET,20260926,45,0.8003952569169961,18,5,4,18,0.4888888888888889
33,CSP4_LDA,deterministic,45,0.6067193675889329,7,16,2,20,0.2
33,MU_BETA_SHARED,20260924,45,0.7529644268774703,20,3,8,14,0.6222222222222222
33,MU_BETA_SHARED,20260925,45,0.8448616600790514,19,4,3,19,0.4888888888888889
33,MU_BETA_SHARED,20260926,45,0.6857707509881423,19,4,10,12,0.6444444444444445
34,BROAD_EEGNET,20260924,45,0.8928571428571428,20,1,4,20,0.5333333333333333
34,BROAD_EEGNET,20260925,45,0.8511904761904762,20,1,6,18,0.5777777777777777
34,BROAD_EEGNET,20260926,45,0.8630952380952381,17,4,2,22,0.4222222222222222
34,CSP4_LDA,deterministic,45,0.5982142857142857,19,2,17,7,0.8
34,MU_BETA_SHARED,20260924,45,0.8720238095238095,20,1,5,19,0.5555555555555556
34,MU_BETA_SHARED,20260925,45,0.8214285714285714,17,4,4,20,0.4666666666666667
34,MU_BETA_SHARED,20260926,45,0.8928571428571428,20,1,4,20,0.5333333333333333
35,BROAD_EEGNET,20260924,45,0.5869565217391304,22,0,19,4,0.9111111111111111
