subject,model,stratum,true_label,predicted_label,count
4,PSD44_LDA,flagged,3,4,5
4,PSD44_LDA,flagged,4,1,7
4,PSD44_LDA,flagged,4,2,14
4,PSD44_LDA,flagged,4,3,0
4,PSD44_LDA,flagged,4,4,4
4,PSD44_LINEAR_SVM,all,1,1,64
4,PSD44_LINEAR_SVM,all,1,2,52
4,PSD44_LINEAR_SVM,all,1,3,17
4,PSD44_LINEAR_SVM,all,1,4,11
4,PSD44_LINEAR_SVM,all,2,1,32
4,PSD44_LINEAR_SVM,all,2,2,89
4,PSD44_LINEAR_SVM,all,2,3,12
4,PSD44_LINEAR_SVM,all,2,4,11
4,PSD44_LINEAR_SVM,all,3,1,47
4,PSD44_LINEAR_SVM,all,3,2,41
4,PSD44_LINEAR_SVM,all,3,3,13
4,PSD44_LINEAR_SVM,all,3,4,43
4,PSD44_LINEAR_SVM,all,4,1,28
4,PSD44_LINEAR_SVM,all,4,2,60
4,PSD44_LINEAR_SVM,all,4,3,11
4,PSD44_LINEAR_SVM,all,4,4,45
4,PSD44_LINEAR_SVM,unflagged,1,1,54
4,PSD44_LINEAR_SVM,unflagged,1,2,44
4,PSD44_LINEAR_SVM,unflagged,1,3,15
4,PSD44_LINEAR_SVM,unflagged,1,4,8
4,PSD44_LINEAR_SVM,unflagged,2,1,28
4,PSD44_LINEAR_SVM,unflagged,2,2,75
4,PSD44_LINEAR_SVM,unflagged,2,3,11
4,PSD44_LINEAR_SVM,unflagged,2,4,10
4,PSD44_LINEAR_SVM,unflagged,3,1,43
4,PSD44_LINEAR_SVM,unflagged,3,2,34
4,PSD44_LINEAR_SVM,unflagged,3,3,10
4,PSD44_LINEAR_SVM,unflagged,3,4,39
4,PSD44_LINEAR_SVM,unflagged,4,1,20
4,PSD44_LINEAR_SVM,unflagged,4,2,47
4,PSD44_LINEAR_SVM,unflagged,4,3,10
4,PSD44_LINEAR_SVM,unflagged,4,4,42
4,PSD44_LINEAR_SVM,flagged,1,1,10
4,PSD44_LINEAR_SVM,flagged,1,2,8
4,PSD44_LINEAR_SVM,flagged,1,3,2
4,PSD44_LINEAR_SVM,flagged,1,4,3
4,PSD44_LINEAR_SVM,flagged,2,1,4
4,PSD44_LINEAR_SVM,flagged,2,2,14
4,PSD44_LINEAR_SVM,flagged,2,3,1
4,PSD44_LINEAR_SVM,flagged,2,4,1
4,PSD44_LINEAR_SVM,flagged,3,1,4
4,PSD44_LINEAR_SVM,flagged,3,2,7
4,PSD44_LINEAR_SVM,flagged,3,3,3
4,PSD44_LINEAR_SVM,flagged,3,4,4
4,PSD44_LINEAR_SVM,flagged,4,1,8
4,PSD44_LINEAR_SVM,flagged,4,2,13
4,PSD44_LINEAR_SVM,flagged,4,3,1
4,PSD44_LINEAR_SVM,flagged,4,4,3
5,PSD44_LDA,all,1,1,126
5,PSD44_LDA,all,1,2,15
5,PSD44_LDA,all,1,3,3
5,PSD44_LDA,all,1,4,0
5,PSD44_LDA,all,2,1,123
5,PSD44_LDA,all,2,2,17
5,PSD44_LDA,all,2,3,4
5,PSD44_LDA,all,2,4,0
5,PSD44_LDA,all,3,1,123
5,PSD44_LDA,all,3,2,17
5,PSD44_LDA,all,3,3,4
5,PSD44_LDA,all,3,4,0
5,PSD44_LDA,all,4,1,129
5,PSD44_LDA,all,4,2,15
5,PSD44_LDA,all,4,3,0
5,PSD44_LDA,all,4,4,0
5,PSD44_LDA,unflagged,1,1,116
5,PSD44_LDA,unflagged,1,2,14
5,PSD44_LDA,unflagged,1,3,3
5,PSD44_LDA,unflagged,1,4,0
5,PSD44_LDA,unflagged,2,1,112
5,PSD44_LDA,unflagged,2,2,15
5,PSD44_LDA,unflagged,2,3,4
5,PSD44_LDA,unflagged,2,4,0
5,PSD44_LDA,unflagged,3,1,117
5,PSD44_LDA,unflagged,3,2,17
5,PSD44_LDA,unflagged,3,3,4
5,PSD44_LDA,unflagged,3,4,0
5,PSD44_LDA,unflagged,4,1,121
5,PSD44_LDA,unflagged,4,2,15
5,PSD44_LDA,unflagged,4,3,0
5,PSD44_LDA,unflagged,4,4,0
5,PSD44_LDA,flagged,1,1,10
5,PSD44_LDA,flagged,1,2,1
5,PSD44_LDA,flagged,1,3,0
5,PSD44_LDA,flagged,1,4,0
5,PSD44_LDA,flagged,2,1,11
5,PSD44_LDA,flagged,2,2,2
5,PSD44_LDA,flagged,2,3,0
5,PSD44_LDA,flagged,2,4,0
5,PSD44_LDA,flagged,3,1,6
5,PSD44_LDA,flagged,3,2,0
5,PSD44_LDA,flagged,3,3,0
5,PSD44_LDA,flagged,3,4,0
5,PSD44_LDA,flagged,4,1,8
5,PSD44_LDA,flagged,4,2,0
5,PSD44_LDA,flagged,4,3,0
5,PSD44_LDA,flagged,4,4,0
5,PSD44_LINEAR_SVM,all,1,1,129
5,PSD44_LINEAR_SVM,all,1,2,13
5,PSD44_LINEAR_SVM,all,1,3,2
5,PSD44_LINEAR_SVM,all,1,4,0
5,PSD44_LINEAR_SVM,all,2,1,131
5,PSD44_LINEAR_SVM,all,2,2,12
5,PSD44_LINEAR_SVM,all,2,3,1
5,PSD44_LINEAR_SVM,all,2,4,0
5,PSD44_LINEAR_SVM,all,3,1,129
5,PSD44_LINEAR_SVM,all,3,2,12
5,PSD44_LINEAR_SVM,all,3,3,3
5,PSD44_LINEAR_SVM,all,3,4,0
5,PSD44_LINEAR_SVM,all,4,1,130
5,PSD44_LINEAR_SVM,all,4,2,14
5,PSD44_LINEAR_SVM,all,4,3,0
5,PSD44_LINEAR_SVM,all,4,4,0
5,PSD44_LINEAR_SVM,unflagged,1,1,119
5,PSD44_LINEAR_SVM,unflagged,1,2,12
5,PSD44_LINEAR_SVM,unflagged,1,3,2
5,PSD44_LINEAR_SVM,unflagged,1,4,0
5,PSD44_LINEAR_SVM,unflagged,2,1,120
5,PSD44_LINEAR_SVM,unflagged,2,2,10
5,PSD44_LINEAR_SVM,unflagged,2,3,1
5,PSD44_LINEAR_SVM,unflagged,2,4,0
5,PSD44_LINEAR_SVM,unflagged,3,1,123
5,PSD44_LINEAR_SVM,unflagged,3,2,12
5,PSD44_LINEAR_SVM,unflagged,3,3,3
5,PSD44_LINEAR_SVM,unflagged,3,4,0
5,PSD44_LINEAR_SVM,unflagged,4,1,122
5,PSD44_LINEAR_SVM,unflagged,4,2,14
5,PSD44_LINEAR_SVM,unflagged,4,3,0
5,PSD44_LINEAR_SVM,unflagged,4,4,0
5,PSD44_LINEAR_SVM,flagged,1,1,10
5,PSD44_LINEAR_SVM,flagged,1,2,1
5,PSD44_LINEAR_SVM,flagged,1,3,0
5,PSD44_LINEAR_SVM,flagged,1,4,0
5,PSD44_LINEAR_SVM,flagged,2,1,11
5,PSD44_LINEAR_SVM,flagged,2,2,2
5,PSD44_LINEAR_SVM,flagged,2,3,0
5,PSD44_LINEAR_SVM,flagged,2,4,0
5,PSD44_LINEAR_SVM,flagged,3,1,6
5,PSD44_LINEAR_SVM,flagged,3,2,0
5,PSD44_LINEAR_SVM,flagged,3,3,0
5,PSD44_LINEAR_SVM,flagged,3,4,0
5,PSD44_LINEAR_SVM,flagged,4,1,8
5,PSD44_LINEAR_SVM,flagged,4,2,0
5,PSD44_LINEAR_SVM,flagged,4,3,0
5,PSD44_LINEAR_SVM,flagged,4,4,0
6,PSD44_LDA,all,1,1,9
6,PSD44_LDA,all,1,2,25
6,PSD44_LDA,all,1,3,40
6,PSD44_LDA,all,1,4,70
6,PSD44_LDA,all,2,1,9
6,PSD44_LDA,all,2,2,32
6,PSD44_LDA,all,2,3,31
6,PSD44_LDA,all,2,4,72
6,PSD44_LDA,all,3,1,4
6,PSD44_LDA,all,3,2,2
6,PSD44_LDA,all,3,3,47
6,PSD44_LDA,all,3,4,91
6,PSD44_LDA,all,4,1,5
6,PSD44_LDA,all,4,2,9
6,PSD44_LDA,all,4,3,58
6,PSD44_LDA,all,4,4,72
6,PSD44_LDA,unflagged,1,1,6
6,PSD44_LDA,unflagged,1,2,19
6,PSD44_LDA,unflagged,1,3,33
6,PSD44_LDA,unflagged,1,4,51
6,PSD44_LDA,unflagged,2,1,4
6,PSD44_LDA,unflagged,2,2,26
6,PSD44_LDA,unflagged,2,3,21
6,PSD44_LDA,unflagged,2,4,61
6,PSD44_LDA,unflagged,3,1,0
6,PSD44_LDA,unflagged,3,2,0
6,PSD44_LDA,unflagged,3,3,33
6,PSD44_LDA,unflagged,3,4,70
6,PSD44_LDA,unflagged,4,1,3
6,PSD44_LDA,unflagged,4,2,4
6,PSD44_LDA,unflagged,4,3,47
6,PSD44_LDA,unflagged,4,4,56
6,PSD44_LDA,flagged,1,1,3
6,PSD44_LDA,flagged,1,2,6
6,PSD44_LDA,flagged,1,3,7
6,PSD44_LDA,flagged,1,4,19
6,PSD44_LDA,flagged,2,1,5
6,PSD44_LDA,flagged,2,2,6
6,PSD44_LDA,flagged,2,3,10
6,PSD44_LDA,flagged,2,4,11
6,PSD44_LDA,flagged,3,1,4
6,PSD44_LDA,flagged,3,2,2
6,PSD44_LDA,flagged,3,3,14
6,PSD44_LDA,flagged,3,4,21
6,PSD44_LDA,flagged,4,1,2
6,PSD44_LDA,flagged,4,2,5
6,PSD44_LDA,flagged,4,3,11
6,PSD44_LDA,flagged,4,4,16
6,PSD44_LINEAR_SVM,all,1,1,9
6,PSD44_LINEAR_SVM,all,1,2,26
6,PSD44_LINEAR_SVM,all,1,3,41
6,PSD44_LINEAR_SVM,all,1,4,68
6,PSD44_LINEAR_SVM,all,2,1,10
6,PSD44_LINEAR_SVM,all,2,2,35
6,PSD44_LINEAR_SVM,all,2,3,31
6,PSD44_LINEAR_SVM,all,2,4,68
6,PSD44_LINEAR_SVM,all,3,1,6
6,PSD44_LINEAR_SVM,all,3,2,2
6,PSD44_LINEAR_SVM,all,3,3,52
6,PSD44_LINEAR_SVM,all,3,4,84
6,PSD44_LINEAR_SVM,all,4,1,6
6,PSD44_LINEAR_SVM,all,4,2,11
6,PSD44_LINEAR_SVM,all,4,3,61
6,PSD44_LINEAR_SVM,all,4,4,66
6,PSD44_LINEAR_SVM,unflagged,1,1,4
6,PSD44_LINEAR_SVM,unflagged,1,2,20
6,PSD44_LINEAR_SVM,unflagged,1,3,33
6,PSD44_LINEAR_SVM,unflagged,1,4,52
6,PSD44_LINEAR_SVM,unflagged,2,1,4
6,PSD44_LINEAR_SVM,unflagged,2,2,28
6,PSD44_LINEAR_SVM,unflagged,2,3,21
6,PSD44_LINEAR_SVM,unflagged,2,4,59
6,PSD44_LINEAR_SVM,unflagged,3,1,0
6,PSD44_LINEAR_SVM,unflagged,3,2,0
6,PSD44_LINEAR_SVM,unflagged,3,3,38
6,PSD44_LINEAR_SVM,unflagged,3,4,65
6,PSD44_LINEAR_SVM,unflagged,4,1,4
6,PSD44_LINEAR_SVM,unflagged,4,2,5
6,PSD44_LINEAR_SVM,unflagged,4,3,48
6,PSD44_LINEAR_SVM,unflagged,4,4,53
6,PSD44_LINEAR_SVM,flagged,1,1,5
6,PSD44_LINEAR_SVM,flagged,1,2,6
6,PSD44_LINEAR_SVM,flagged,1,3,8
6,PSD44_LINEAR_SVM,flagged,1,4,16
6,PSD44_LINEAR_SVM,flagged,2,1,6
6,PSD44_LINEAR_SVM,flagged,2,2,7
6,PSD44_LINEAR_SVM,flagged,2,3,10
6,PSD44_LINEAR_SVM,flagged,2,4,9
6,PSD44_LINEAR_SVM,flagged,3,1,6
6,PSD44_LINEAR_SVM,flagged,3,2,2
6,PSD44_LINEAR_SVM,flagged,3,3,14
6,PSD44_LINEAR_SVM,flagged,3,4,19
6,PSD44_LINEAR_SVM,flagged,4,1,2
6,PSD44_LINEAR_SVM,flagged,4,2,6
6,PSD44_LINEAR_SVM,flagged,4,3,13
6,PSD44_LINEAR_SVM,flagged,4,4,13
7,PSD44_LDA,all,1,1,56
7,PSD44_LDA,all,1,2,56
7,PSD44_LDA,all,1,3,9
7,PSD44_LDA,all,1,4,23
7,PSD44_LDA,all,2,1,44
7,PSD44_LDA,all,2,2,68
7,PSD44_LDA,all,2,3,7
7,PSD44_LDA,all,2,4,25
7,PSD44_LDA,all,3,1,79
7,PSD44_LDA,all,3,2,44
7,PSD44_LDA,all,3,3,3
7,PSD44_LDA,all,3,4,18
7,PSD44_LDA,all,4,1,38
7,PSD44_LDA,all,4,2,28
