subject,model,stratum,n_trials,n_classes_present,balanced_accuracy,accuracy,macro_f1,cohen_kappa,recall_class_1,recall_class_2,recall_class_3,recall_class_4
8,PSD44_LDA,all,576,4,0.4548611111111111,0.4548611111111111,0.4302304413785301,0.2731481481481481,0.5069444444444444,0.6736111111111112,0.1388888888888889,0.5
8,PSD44_LDA,unflagged,535,4,0.4554357449614138,0.4560747663551401,0.4290325451719639,0.2742093387535896,0.5075757575757576,0.6716417910447762,0.1278195488721804,0.5147058823529411
8,PSD44_LDA,flagged,41,4,0.4306818181818181,0.4390243902439024,0.4197967980295566,0.2539556962025316,0.5,0.7,0.2727272727272727,0.25
8,PSD44_LINEAR_SVM,all,576,4,0.4322916666666666,0.4322916666666667,0.3881188042814445,0.2430555555555555,0.5416666666666666,0.8263888888888888,0.0902777777777777,0.2708333333333333
8,PSD44_LINEAR_SVM,unflagged,535,4,0.4339828215082362,0.4336448598130841,0.3885256863098048,0.2448360678648293,0.5454545454545454,0.8283582089552238,0.0827067669172932,0.2794117647058823
8,PSD44_LINEAR_SVM,flagged,41,4,0.4017045454545455,0.4146341463414634,0.3726190476190476,0.2215189873417721,0.5,0.8,0.1818181818181818,0.125
9,PSD44_LDA,all,576,4,0.4704861111111111,0.4704861111111111,0.4567113197764906,0.2939814814814815,0.2569444444444444,0.3541666666666667,0.6319444444444444,0.6388888888888888
9,PSD44_LDA,unflagged,501,4,0.4596322930247718,0.4630738522954092,0.4487381446148372,0.2811284825014802,0.2627118644067797,0.328125,0.6076923076923076,0.64
9,PSD44_LDA,flagged,75,4,0.5704977588201272,0.52,0.5143486544415337,0.3771626297577855,0.2307692307692307,0.5625,0.8571428571428571,0.631578947368421
9,PSD44_LINEAR_SVM,all,576,4,0.4670138888888889,0.4670138888888889,0.4459781929013623,0.2893518518518518,0.2083333333333333,0.3333333333333333,0.6527777777777778,0.6736111111111112
9,PSD44_LINEAR_SVM,unflagged,501,4,0.4568302843872229,0.4610778443113772,0.4386043938965799,0.2780517484308954,0.211864406779661,0.3046875,0.6307692307692307,0.68
9,PSD44_LINEAR_SVM,flagged,75,4,0.5608823742047426,0.5066666666666667,0.4967336698923669,0.3633860977288369,0.1923076923076923,0.5625,0.8571428571428571,0.631578947368421
