fold,subject,seed,model,stratum,n_train,n_test,n_classes_present,balanced_accuracy,accuracy,macro_f1,macro_precision,macro_recall,cohen_kappa
loso_s4,4,20260925,EEGNet,flagged,4608,86,4,0.3745169082125604,0.3372093023255814,0.2665003024803388,0.2569176319176319,0.3745169082125604,0.1455464528499216
loso_s4,4,20260926,EEGNet,all,4608,576,4,0.3923611111111111,0.3923611111111111,0.3356865501778378,0.4124786170204749,0.3923611111111111,0.1898148148148147
loso_s4,4,20260926,EEGNet,unflagged,4608,490,4,0.3980408367914836,0.4020408163265306,0.3454561278592716,0.4346915723062511,0.3980408367914836,0.1993955176855688
loso_s4,4,20260926,EEGNet,flagged,4608,86,4,0.3716666666666667,0.3372093023255814,0.2808401175938489,0.2799744897959184,0.3716666666666667,0.1446518932123538
loso_s5,5,20260924,EEGNet,all,4608,576,4,0.2413194444444444,0.2413194444444444,0.1256244204480871,0.1130175742244707,0.2413194444444444,-0.0115740740740741
loso_s5,5,20260924,EEGNet,unflagged,4608,538,4,0.2390374791941686,0.2360594795539033,0.1237257366289624,0.1100414078674948,0.2390374791941686,-0.0143027522935779
loso_s5,5,20260924,EEGNet,flagged,4608,38,4,0.2692307692307692,0.3157894736842105,0.1508152173913043,0.1619047619047618,0.2692307692307692,0.0313725490196078
loso_s5,5,20260925,EEGNet,all,4608,576,4,0.2395833333333333,0.2395833333333333,0.1087366331348114,0.0948012232415902,0.2395833333333333,-0.0138888888888888
loso_s5,5,20260925,EEGNet,unflagged,4608,538,4,0.2422516214199621,0.2360594795539033,0.1084438377535101,0.0973311546840958,0.2422516214199621,-0.0101094081907675
loso_s5,5,20260925,EEGNet,flagged,4608,38,4,0.2115384615384615,0.2894736842105263,0.1145833333333333,0.0785714285714285,0.2115384615384615,-0.0732217573221756
loso_s5,5,20260926,EEGNet,all,4608,576,4,0.2586805555555555,0.2586805555555556,0.1625177304964539,0.1279761904761904,0.2586805555555555,0.011574074074074
loso_s5,5,20260926,EEGNet,unflagged,4608,538,4,0.2566435171899214,0.2527881040892193,0.1595657020987833,0.1253823445724854,0.2566435171899214,0.0086994783979759
loso_s5,5,20260926,EEGNet,flagged,4608,38,4,0.2814685314685314,0.3421052631578947,0.2026455026455026,0.1651785714285714,0.2814685314685314,0.0480961923847695
loso_s6,6,20260924,EEGNet,all,4608,576,4,0.2795138888888889,0.2795138888888889,0.2514231428186113,0.4227431999018907,0.2795138888888889,0.0393518518518518
loso_s6,6,20260924,EEGNet,unflagged,4608,434,4,0.2864790201670601,0.2857142857142857,0.2521471731664376,0.3918493445089189,0.2864790201670601,0.0513393644100661
loso_s6,6,20260924,EEGNet,flagged,4608,142,4,0.2600404796064767,0.2605633802816901,0.2482137019567552,0.4463097398669086,0.2600404796064767,0.0048057669203043
loso_s6,6,20260925,EEGNet,all,4608,576,4,0.296875,0.296875,0.2548206696702662,0.4153513777757205,0.296875,0.0625
