condition,subject,seed,balanced_accuracy,selected_epochs,zero_recall_classes,dominant_prediction_share,recall_class_1,recall_class_2,recall_class_3,recall_class_4
TWO_BAND_INDEPENDENT,7,20260924,0.22569444444444448,12,1,0.5121527777777778,0.2361111111111111,0.5555555555555556,0.1111111111111111,0.0
TWO_BAND_INDEPENDENT,7,20260925,0.3472222222222222,12,0,0.4340277777777778,0.5138888888888888,0.2152777777777778,0.4513888888888889,0.20833333333333334
TWO_BAND_INDEPENDENT,7,20260926,0.2708333333333333,12,1,0.3940972222222222,0.3333333333333333,0.3958333333333333,0.3541666666666667,0.0
TWO_BAND_INDEPENDENT,8,20260924,0.6649305555555556,7,0,0.4114583333333333,0.5694444444444444,0.6666666666666666,0.5555555555555556,0.8680555555555556
TWO_BAND_INDEPENDENT,8,20260925,0.5850694444444444,7,0,0.5034722222222222,0.7083333333333334,0.9513888888888888,0.10416666666666667,0.5763888888888888
TWO_BAND_INDEPENDENT,8,20260926,0.560763888888889,7,0,0.4791666666666667,0.5694444444444444,0.9305555555555556,0.5833333333333334,0.1597222222222222
TWO_BAND_INDEPENDENT,9,20260924,0.6041666666666666,11,0,0.3524305555555556,0.75,0.3958333333333333,0.6180555555555556,0.6527777777777778
TWO_BAND_INDEPENDENT,9,20260925,0.592013888888889,11,0,0.4027777777777778,0.5486111111111112,0.3888888888888889,0.5347222222222222,0.8958333333333334
TWO_BAND_INDEPENDENT,9,20260926,0.5850694444444444,11,0,0.3142361111111111,0.6180555555555556,0.3611111111111111,0.6597222222222222,0.7013888888888888
TWO_BAND_EARLY_STACK,1,20260924,0.6024305555555556,7,0,0.3263888888888889,0.75,0.8125,0.4791666666666667,0.3680555555555556
TWO_BAND_EARLY_STACK,1,20260925,0.5451388888888888,7,0,0.4670138888888889,0.8888888888888888,0.5347222222222222,0.3263888888888889,0.4305555555555556
TWO_BAND_EARLY_STACK,1,20260926,0.5868055555555556,7,0,0.4340277777777778,0.7152777777777778,0.7152777777777778,0.0763888888888889,0.8402777777777778
TWO_BAND_EARLY_STACK,2,20260924,0.28298611111111105,15,0,0.6336805555555556,0.6875,0.2569444444444444,0.1597222222222222,0.027777777777777776
TWO_BAND_EARLY_STACK,2,20260925,0.27777777777777773,15,0,0.8020833333333334,0.8263888888888888,0.2569444444444444,0.013888888888888888,0.013888888888888888
TWO_BAND_EARLY_STACK,2,20260926,0.32291666666666663,15,0,0.4739583333333333,0.2916666666666667,0.5972222222222222,0.3958333333333333,0.006944444444444444
TWO_BAND_EARLY_STACK,3,20260924,0.6059027777777778,12,0,0.4947916666666667,0.5694444444444444,0.5763888888888888,0.4027777777777778,0.875
TWO_BAND_EARLY_STACK,3,20260925,0.5677083333333333,12,0,0.5381944444444444,0.3194444444444444,0.6527777777777778,0.4305555555555556,0.8680555555555556
TWO_BAND_EARLY_STACK,3,20260926,0.6336805555555555,12,0,0.3888888888888889,0.8194444444444444,0.8958333333333334,0.2916666666666667,0.5277777777777778
TWO_BAND_EARLY_STACK,4,20260924,0.25520833333333337,13,0,0.7482638888888888,0.04861111111111111,0.1875,0.6875,0.09722222222222222
TWO_BAND_EARLY_STACK,4,20260925,0.34722222222222215,13,0,0.4253472222222222,0.3819444444444444,0.3958333333333333,0.3402777777777778,0.2708333333333333
TWO_BAND_EARLY_STACK,4,20260926,0.3680555555555556,13,0,0.484375,0.375,0.7708333333333334,0.24305555555555555,0.08333333333333333
TWO_BAND_EARLY_STACK,5,20260924,0.2604166666666667,13,2,0.9097222222222222,0.9444444444444444,0.09722222222222222,0.0,0.0
TWO_BAND_EARLY_STACK,5,20260925,0.2673611111111111,13,2,0.875,0.9097222222222222,0.1597222222222222,0.0,0.0
TWO_BAND_EARLY_STACK,5,20260926,0.2326388888888889,13,2,0.7881944444444444,0.1736111111111111,0.7569444444444444,0.0,0.0
TWO_BAND_EARLY_STACK,6,20260924,0.2743055555555556,11,0,0.6527777777777778,0.09027777777777778,0.1875,0.6041666666666666,0.2152777777777778
TWO_BAND_EARLY_STACK,6,20260925,0.2847222222222222,11,0,0.5503472222222222,0.14583333333333334,0.16666666666666666,0.4861111111111111,0.3402777777777778
TWO_BAND_EARLY_STACK,6,20260926,0.2829861111111111,11,0,0.5,0.06944444444444445,0.16666666666666666,0.3263888888888889,0.5694444444444444
TWO_BAND_EARLY_STACK,7,20260924,0.28125,18,0,0.5190972222222222,0.4652777777777778,0.5555555555555556,0.027777777777777776,0.0763888888888889
TWO_BAND_EARLY_STACK,7,20260925,0.33159722222222227,18,0,0.7326388888888888,0.8125,0.22916666666666666,0.09722222222222222,0.1875
TWO_BAND_EARLY_STACK,7,20260926,0.2916666666666667,18,0,0.4913194444444444,0.4722222222222222,0.5347222222222222,0.034722222222222224,0.125
TWO_BAND_EARLY_STACK,8,20260924,0.6371527777777778,14,0,0.3489583333333333,0.5416666666666666,0.8402777777777778,0.6319444444444444,0.5347222222222222
TWO_BAND_EARLY_STACK,8,20260925,0.65625,14,0,0.3923611111111111,0.7430555555555556,0.8819444444444444,0.3888888888888889,0.6111111111111112
TWO_BAND_EARLY_STACK,8,20260926,0.5295138888888888,14,0,0.6388888888888888,0.3194444444444444,0.6666666666666666,0.16666666666666666,0.9652777777777778
TWO_BAND_EARLY_STACK,9,20260924,0.5868055555555556,18,0,0.2951388888888889,0.6736111111111112,0.4930555555555556,0.6041666666666666,0.5763888888888888
TWO_BAND_EARLY_STACK,9,20260925,0.5833333333333334,18,0,0.3489583333333333,0.5625,0.4027777777777778,0.5208333333333334,0.8472222222222222
TWO_BAND_EARLY_STACK,9,20260926,0.6215277777777778,18,0,0.3125,0.6319444444444444,0.5138888888888888,0.5486111111111112,0.7916666666666666
BROAD_CAPACITY_MATCHED,1,20260924,0.6041666666666667,7,0,0.3211805555555556,0.7430555555555556,0.6736111111111112,0.4305555555555556,0.5694444444444444
BROAD_CAPACITY_MATCHED,1,20260925,0.5225694444444444,7,0,0.3263888888888889,0.5763888888888888,0.4652777777777778,0.4722222222222222,0.5763888888888888
BROAD_CAPACITY_MATCHED,1,20260926,0.5572916666666667,7,0,0.5746527777777778,0.5069444444444444,0.7361111111111112,0.8888888888888888,0.09722222222222222
BROAD_CAPACITY_MATCHED,2,20260924,0.3055555555555556,9,0,0.6215277777777778,0.3541666666666667,0.75,0.0763888888888889,0.041666666666666664
BROAD_CAPACITY_MATCHED,2,20260925,0.2916666666666667,9,1,0.6302083333333334,0.6875,0.2152777777777778,0.2638888888888889,0.0
BROAD_CAPACITY_MATCHED,2,20260926,0.3020833333333333,9,0,0.703125,0.7708333333333334,0.19444444444444445,0.2222222222222222,0.020833333333333332
BROAD_CAPACITY_MATCHED,3,20260924,0.5381944444444444,9,0,0.6006944444444444,0.5,0.5,0.16666666666666666,0.9861111111111112
BROAD_CAPACITY_MATCHED,3,20260925,0.6111111111111112,9,0,0.3767361111111111,0.4305555555555556,0.6041666666666666,0.6666666666666666,0.7430555555555556
