training_policy,model,subject,test_stratum,n_test,n_left,n_right,balanced_accuracy,accuracy,macro_f1,cohen_kappa
expert_clean_only,CSP4+shrinkageLDA,5,all,288,144,144,0.5,0.5,0.4920634920634921,0.0
expert_clean_only,CSP4+shrinkageLDA,6,clean,221,109,112,0.5504587155963303,0.5565610859728507,0.4394927536231884,0.10214741729541488
expert_clean_only,CSP4+shrinkageLDA,6,flagged,67,35,32,0.5571428571428572,0.5373134328358209,0.4394062078272605,0.10972996142306035
expert_clean_only,CSP4+shrinkageLDA,6,all,288,144,144,0.5520833333333334,0.5520833333333334,0.43966336364870373,0.10416666666666663
expert_clean_only,CSP4+shrinkageLDA,7,clean,273,138,135,0.5855877616747182,0.5897435897435898,0.5185185185185185,0.17259295340152625
expert_clean_only,CSP4+shrinkageLDA,7,flagged,15,6,9,0.6388888888888888,0.6,0.5982142857142857,0.25
expert_clean_only,CSP4+shrinkageLDA,7,all,288,144,144,0.5902777777777778,0.5902777777777778,0.5260779829307748,0.18055555555555558
expert_clean_only,CSP4+shrinkageLDA,8,clean,266,132,134,0.9400158299412031,0.9398496240601504,0.9398360192253322,0.8797332429072002
expert_clean_only,CSP4+shrinkageLDA,8,flagged,22,12,10,0.8583333333333334,0.8636363636363636,0.8610526315789473,0.7226890756302521
expert_clean_only,CSP4+shrinkageLDA,8,all,288,144,144,0.9340277777777778,0.9340277777777778,0.9339887809879969,0.8680555555555556
expert_clean_only,CSP4+shrinkageLDA,9,clean,246,118,128,0.6635328389830508,0.6626016260162602,0.6625960505659754,0.3260941316258499
expert_clean_only,CSP4+shrinkageLDA,9,flagged,42,26,16,0.5697115384615384,0.5714285714285714,0.5625,0.1330275229357799
expert_clean_only,CSP4+shrinkageLDA,9,all,288,144,144,0.6493055555555556,0.6493055555555556,0.6491998215125605,0.29861111111111116
expert_clean_only,WelchPSD88+shrinkageLDA,1,clean,279,140,139,0.6449383350462488,0.6451612903225806,0.6436781609195402,0.2900033416446033
expert_clean_only,WelchPSD88+shrinkageLDA,1,flagged,9,4,5,0.675,0.6666666666666666,0.6666666666666666,0.3414634146341463
expert_clean_only,WelchPSD88+shrinkageLDA,1,all,288,144,144,0.6458333333333334,0.6458333333333334,0.6444444444444444,0.29166666666666663
expert_clean_only,WelchPSD88+shrinkageLDA,2,clean,278,138,140,0.4740683229813665,0.4748201438848921,0.4686321742773356,-0.05193862741032551
expert_clean_only,WelchPSD88+shrinkageLDA,2,flagged,10,6,4,0.375,0.4,0.375,-0.25
expert_clean_only,WelchPSD88+shrinkageLDA,2,all,288,144,144,0.4722222222222222,0.4722222222222222,0.4671859785783836,-0.05555555555555558
expert_clean_only,WelchPSD88+shrinkageLDA,3,clean,274,136,138,0.6669330775788576,0.6678832116788321,0.6617146268332723,0.33448993754337264
expert_clean_only,WelchPSD88+shrinkageLDA,3,flagged,14,8,6,0.5208333333333333,0.5,0.49743589743589745,0.03921568627450989
expert_clean_only,WelchPSD88+shrinkageLDA,3,all,288,144,144,0.6597222222222222,0.6597222222222222,0.6536932515337424,0.3194444444444444
expert_clean_only,WelchPSD88+shrinkageLDA,4,clean,245,121,124,0.5901759530791789,0.5918367346938775,0.5833333333333334,0.1809307301417491
expert_clean_only,WelchPSD88+shrinkageLDA,4,flagged,43,23,20,0.5521739130434783,0.5348837209302325,0.5135746606334841,0.10041841004184082
expert_clean_only,WelchPSD88+shrinkageLDA,4,all,288,144,144,0.5833333333333334,0.5833333333333334,0.5733754690894726,0.16666666666666663
expert_clean_only,WelchPSD88+shrinkageLDA,5,clean,264,133,131,0.4892383630832807,0.49242424242424243,0.38101903695408734,-0.021660024259227084
expert_clean_only,WelchPSD88+shrinkageLDA,5,flagged,24,11,13,0.5769230769230769,0.5416666666666666,0.4666666666666667,0.1428571428571428
expert_clean_only,WelchPSD88+shrinkageLDA,5,all,288,144,144,0.4965277777777778,0.4965277777777778,0.38860664978112236,-0.00694444444444442
expert_clean_only,WelchPSD88+shrinkageLDA,6,clean,221,109,112,0.5858863040629095,0.5882352941176471,0.5742892826146779,0.17255708701913186
expert_clean_only,WelchPSD88+shrinkageLDA,6,flagged,67,35,32,0.5553571428571429,0.5522388059701493,0.5513392857142857,0.10983170947741372
expert_clean_only,WelchPSD88+shrinkageLDA,6,all,288,144,144,0.5798611111111112,0.5798611111111112,0.5702817682964425,0.1597222222222222
expert_clean_only,WelchPSD88+shrinkageLDA,7,clean,273,138,135,0.5709339774557165,0.5714285714285714,0.5702985215180337,0.14199371423966478
expert_clean_only,WelchPSD88+shrinkageLDA,7,flagged,15,6,9,0.4722222222222222,0.4666666666666667,0.4642857142857143,-0.05263157894736836
expert_clean_only,WelchPSD88+shrinkageLDA,7,all,288,144,144,0.5659722222222223,0.5659722222222222,0.5650860767139837,0.13194444444444442
expert_clean_only,WelchPSD88+shrinkageLDA,8,clean,266,132,134,0.7020578923563998,0.7030075187969925,0.6977750931239304,0.40487114131973945
expert_clean_only,WelchPSD88+shrinkageLDA,8,flagged,22,12,10,0.7416666666666667,0.7272727272727273,0.725,0.467741935483871
expert_clean_only,WelchPSD88+shrinkageLDA,8,all,288,144,144,0.7048611111111112,0.7048611111111112,0.6999080600674226,0.4097222222222222
expert_clean_only,WelchPSD88+shrinkageLDA,9,clean,246,118,128,0.5130429025423728,0.5121951219512195,0.5121951219512195,0.02599973604328898
expert_clean_only,WelchPSD88+shrinkageLDA,9,flagged,42,26,16,0.5504807692307692,0.5476190476190477,0.5411155836687751,0.09523809523809523
expert_clean_only,WelchPSD88+shrinkageLDA,9,all,288,144,144,0.5173611111111112,0.5173611111111112,0.5172155959430287,0.03472222222222221
