fold_id,training_policy,model,n_train,n_test_clean,n_test_flagged,n_features,csp_fit_transform_seconds_shared,classifier_seconds,balanced_accuracy,accuracy,macro_f1,cohen_kappa
loso_s5,expert_clean_only,WelchPSD88+shrinkageLDA,2082,264,24,88,3.8388515999977244,0.01714959999662824,0.4892383630832807,0.49242424242424243,0.38101903695408734,-0.021660024259227084
loso_s5,expert_clean_only,CSP4+WelchPSD88+shrinkageLDA,2082,264,24,92,3.8388515999977244,0.018274099988047965,0.5242208574872295,0.5265151515151515,0.47731052506533617,0.04866236162361637
loso_s5,all_trials,CSP4+shrinkageLDA,2304,264,24,4,4.265463200004888,0.008771000007982366,0.517620386844975,0.5189393939393939,0.5031932075807193,0.03533202900218668
loso_s5,all_trials,WelchPSD88+shrinkageLDA,2304,264,24,88,4.265463200004888,0.021336899997550063,0.4892957584801699,0.49242424242424243,0.38579067990832694,-0.021542015593416064
loso_s5,all_trials,CSP4+WelchPSD88+shrinkageLDA,2304,264,24,92,4.265463200004888,0.029103099994244985,0.5051368880215806,0.5075757575757576,0.4491171749598716,0.010323548070822919
loso_s6,expert_clean_only,CSP4+shrinkageLDA,2125,221,67,4,4.059449200009112,0.007181700013461523,0.5504587155963303,0.5565610859728507,0.4394927536231884,0.10214741729541488
loso_s6,expert_clean_only,WelchPSD88+shrinkageLDA,2125,221,67,88,4.059449200009112,0.025132299997494556,0.5858863040629095,0.5882352941176471,0.5742892826146779,0.17255708701913186
loso_s6,expert_clean_only,CSP4+WelchPSD88+shrinkageLDA,2125,221,67,92,4.059449200009112,0.02325659999041818,0.5878931847968545,0.5927601809954751,0.5295648060548723,0.1774873873128774
loso_s6,all_trials,CSP4+shrinkageLDA,2304,221,67,4,4.323898799993913,0.00633910000033211,0.536697247706422,0.5429864253393665,0.412991452991453,0.0743167585949488
loso_s6,all_trials,WelchPSD88+shrinkageLDA,2304,221,67,88,4.323898799993913,0.017294099990976974,0.6126720183486238,0.6153846153846154,0.5979668271803102,0.2265409478321735
loso_s6,all_trials,CSP4+WelchPSD88+shrinkageLDA,2304,221,67,92,4.323898799993913,0.029349499993259087,0.578718872870249,0.583710407239819,0.5153508771929824,0.1590006618133687
loso_s7,expert_clean_only,CSP4+shrinkageLDA,2073,273,15,4,4.027597199994489,0.008964799999375828,0.5855877616747182,0.5897435897435898,0.5185185185185185,0.17259295340152625
loso_s7,expert_clean_only,WelchPSD88+shrinkageLDA,2073,273,15,88,4.027597199994489,0.024027599996770732,0.5709339774557165,0.5714285714285714,0.5702985215180337,0.14199371423966478
loso_s7,expert_clean_only,CSP4+WelchPSD88+shrinkageLDA,2073,273,15,92,4.027597199994489,0.02890409999235999,0.6296296296296295,0.63003663003663,0.6293204275055455,0.2594472645234067
loso_s7,all_trials,CSP4+shrinkageLDA,2304,273,15,4,4.481672500012792,0.00892750000639353,0.5669082125603865,0.5714285714285714,0.4809126810004388,0.1350231537899098
loso_s7,all_trials,WelchPSD88+shrinkageLDA,2304,273,15,88,4.481672500012792,0.028132799998275004,0.5561191626409018,0.5567765567765568,0.5548413179704872,0.11237404272470775
loso_s7,all_trials,CSP4+WelchPSD88+shrinkageLDA,2304,273,15,92,4.481672500012792,0.030711100000189617,0.6111111111111112,0.6117216117216118,0.6102101293103448,0.22247299693696598
loso_s8,expert_clean_only,CSP4+shrinkageLDA,2080,266,22,4,3.941493000005721,0.010923599998932332,0.9400158299412031,0.9398496240601504,0.9398360192253322,0.8797332429072002
loso_s8,expert_clean_only,WelchPSD88+shrinkageLDA,2080,266,22,88,3.941493000005721,0.025672599993413314,0.7020578923563998,0.7030075187969925,0.6977750931239304,0.40487114131973945
loso_s8,expert_clean_only,CSP4+WelchPSD88+shrinkageLDA,2080,266,22,92,3.941493000005721,0.025830600003246218,0.8980664857530529,0.8984962406015038,0.8980799523181063,0.7968086912239009
loso_s8,all_trials,CSP4+shrinkageLDA,2304,266,22,4,4.5985092999908375,0.008164699989720248,0.9289914066033469,0.9285714285714286,0.9284004136739059,0.8572558323448003
loso_s8,all_trials,WelchPSD88+shrinkageLDA,2304,266,22,88,4.5985092999908375,0.023859399996581487,0.7023405698778833,0.7030075187969925,0.7003607534471203,0.4052080384941976
loso_s8,all_trials,CSP4+WelchPSD88+shrinkageLDA,2304,266,22,92,4.5985092999908375,0.021778399997856468,0.9094866576209859,0.9097744360902256,0.9095904378859117,0.8194365878493042
loso_s9,expert_clean_only,CSP4+shrinkageLDA,2100,246,42,4,4.038091900001746,0.008319500004290603,0.6635328389830508,0.6626016260162602,0.6625960505659754,0.3260941316258499
loso_s9,expert_clean_only,WelchPSD88+shrinkageLDA,2100,246,42,88,4.038091900001746,0.020869500003755093,0.5130429025423728,0.5121951219512195,0.5121951219512195,0.02599973604328898
loso_s9,expert_clean_only,CSP4+WelchPSD88+shrinkageLDA,2100,246,42,92,4.038091900001746,0.02504670000053011,0.6043432203389831,0.5975609756097561,0.5892462599720025,0.20562332833191987
loso_s9,all_trials,CSP4+shrinkageLDA,2304,246,42,4,4.40073759999359,0.009472100005950779,0.6596265889830508,0.6585365853658537,0.6585365853658537,0.3181998152303023
loso_s9,all_trials,WelchPSD88+shrinkageLDA,2304,246,42,88,4.40073759999359,0.02628809999441728,0.5120497881355932,0.5121951219512195,0.5119047619047619,0.024067706955831714
loso_s9,all_trials,CSP4+WelchPSD88+shrinkageLDA,2304,246,42,92,4.40073759999359,0.03346780000720173,0.6479740466101696,0.6422764227642277,0.6375811960088394,0.29227147901137707
