fold,subject,model,stratum,true_label,predicted_label,count
loso_s2,2,BroadCSP_SVM,all,3,1,11
loso_s2,2,BroadCSP_SVM,all,3,2,44
loso_s2,2,BroadCSP_SVM,all,3,3,87
loso_s2,2,BroadCSP_SVM,all,3,4,2
loso_s2,2,BroadCSP_SVM,all,4,1,18
loso_s2,2,BroadCSP_SVM,all,4,2,47
loso_s2,2,BroadCSP_SVM,all,4,3,77
loso_s2,2,BroadCSP_SVM,all,4,4,2
loso_s2,2,BroadCSP_SVM,unflagged,1,1,11
loso_s2,2,BroadCSP_SVM,unflagged,1,2,56
loso_s2,2,BroadCSP_SVM,unflagged,1,3,71
loso_s2,2,BroadCSP_SVM,unflagged,1,4,0
loso_s2,2,BroadCSP_SVM,unflagged,2,1,10
loso_s2,2,BroadCSP_SVM,unflagged,2,2,67
loso_s2,2,BroadCSP_SVM,unflagged,2,3,62
loso_s2,2,BroadCSP_SVM,unflagged,2,4,1
loso_s2,2,BroadCSP_SVM,unflagged,3,1,10
loso_s2,2,BroadCSP_SVM,unflagged,3,2,42
loso_s2,2,BroadCSP_SVM,unflagged,3,3,81
loso_s2,2,BroadCSP_SVM,unflagged,3,4,2
loso_s2,2,BroadCSP_SVM,unflagged,4,1,18
loso_s2,2,BroadCSP_SVM,unflagged,4,2,45
loso_s2,2,BroadCSP_SVM,unflagged,4,3,75
loso_s2,2,BroadCSP_SVM,unflagged,4,4,2
loso_s2,2,BroadCSP_SVM,flagged,1,1,0
loso_s2,2,BroadCSP_SVM,flagged,1,2,3
loso_s2,2,BroadCSP_SVM,flagged,1,3,3
loso_s2,2,BroadCSP_SVM,flagged,1,4,0
loso_s2,2,BroadCSP_SVM,flagged,2,1,0
loso_s2,2,BroadCSP_SVM,flagged,2,2,2
loso_s2,2,BroadCSP_SVM,flagged,2,3,2
loso_s2,2,BroadCSP_SVM,flagged,2,4,0
loso_s2,2,BroadCSP_SVM,flagged,3,1,1
loso_s2,2,BroadCSP_SVM,flagged,3,2,2
loso_s2,2,BroadCSP_SVM,flagged,3,3,6
loso_s2,2,BroadCSP_SVM,flagged,3,4,0
loso_s2,2,BroadCSP_SVM,flagged,4,1,0
loso_s2,2,BroadCSP_SVM,flagged,4,2,2
loso_s2,2,BroadCSP_SVM,flagged,4,3,2
loso_s2,2,BroadCSP_SVM,flagged,4,4,0
loso_s2,2,FBCSP_LDA,all,1,1,38
loso_s2,2,FBCSP_LDA,all,1,2,32
loso_s2,2,FBCSP_LDA,all,1,3,72
loso_s2,2,FBCSP_LDA,all,1,4,2
