fold,subject,model,stratum,n_train,n_test,n_classes_present,balanced_accuracy,accuracy,macro_f1,macro_precision,macro_recall,cohen_kappa
loso_s4,4,FBCSP_MI8_LDA,all,4608,576,4,0.3090277777777778,0.3090277777777778,0.26904666644529046,0.3915931856175258,0.3090277777777778,0.07870370370370372
loso_s4,4,FBCSP_MI8_LDA,unflagged,4608,490,4,0.3148578057367086,0.3183673469387755,0.26986026604628965,0.3561254428498243,0.3148578057367086,0.08688690140766497
loso_s4,4,FBCSP_MI8_LDA,flagged,4608,86,4,0.2618840579710145,0.2558139534883721,0.2494004919040787,0.45969202898550726,0.2618840579710145,0.02944806912361131
loso_s5,5,BroadCSP_LDA,all,4608,576,4,0.26388888888888884,0.2638888888888889,0.20079300971020714,0.18832891667592314,0.26388888888888884,0.01851851851851849
loso_s5,5,BroadCSP_LDA,unflagged,4608,538,4,0.26312399817998366,0.26022304832713755,0.19724327084972715,0.18449825021290184,0.26312399817998366,0.01665663992358246
loso_s5,5,BroadCSP_LDA,flagged,4608,38,4,0.30506993006993005,0.3157894736842105,0.24734848484848485,0.24981617647058824,0.30506993006993005,0.07835820895522394
loso_s5,5,BroadCSP_SVM,all,4608,576,4,0.2673611111111111,0.2673611111111111,0.2049315778424227,0.19207004216660184,0.2673611111111111,0.02314814814814814
loso_s5,5,BroadCSP_SVM,unflagged,4608,538,4,0.261147496188197,0.258364312267658,0.19477122675105224,0.18122620717291124,0.261147496188197,0.014208563713514089
loso_s5,5,BroadCSP_SVM,flagged,4608,38,4,0.39219114219114215,0.39473684210526316,0.32859649122807016,0.32638888888888895,0.39219114219114215,0.1996336996336996
loso_s5,5,FBCSP_LDA,all,4608,576,4,0.28125,0.28125,0.1882167936447686,0.14272620300984704,0.28125,0.04166666666666663
loso_s5,5,FBCSP_LDA,unflagged,4608,538,4,0.2839063307122769,0.2788104089219331,0.18756305488297015,0.1413125489358673,0.2839063307122769,0.04393228784991943
loso_s5,5,FBCSP_LDA,flagged,4608,38,4,0.24825174825174823,0.3157894736842105,0.1935483870967742,0.1597222222222222,0.24825174825174823,0.002020202020201922
loso_s5,5,FBCSP_MI8_LDA,all,4608,576,4,0.2569444444444444,0.2569444444444444,0.16584769316286826,0.1258199947520336,0.2569444444444444,0.0092592592592593
loso_s5,5,FBCSP_MI8_LDA,unflagged,4608,538,4,0.2620386844975033,0.25650557620817843,0.16714944885926686,0.1256355523932346,0.2620386844975033,0.015409392042750936
loso_s5,5,FBCSP_MI8_LDA,flagged,4608,38,4,0.19930069930069932,0.2631578947368421,0.14646464646464646,0.1359447004608295,0.19930069930069932,-0.10373443983402497
loso_s6,6,BroadCSP_LDA,all,4608,576,4,0.23958333333333334,0.23958333333333334,0.18619486777388813,0.18041338512271365,0.23958333333333334,-0.01388888888888884
loso_s6,6,BroadCSP_LDA,unflagged,4608,434,4,0.24987667065943764,0.24423963133640553,0.19440819595430875,0.2079735740450026,0.24987667065943764,-0.0005482379071368726
loso_s6,6,BroadCSP_LDA,flagged,4608,142,4,0.2073394906743185,0.22535211267605634,0.16457127210139258,0.13988095238095238,0.2073394906743185,-0.048251795181531554
loso_s6,6,BroadCSP_SVM,all,4608,576,4,0.2517361111111111,0.2517361111111111,0.20402764799648215,0.19755650932629365,0.2517361111111111,0.0023148148148147696
loso_s6,6,BroadCSP_SVM,unflagged,4608,434,4,0.26091563169839865,0.2557603686635945,0.21227694943246805,0.22502789605050655,0.26091563169839865,0.014406142120915955
loso_s6,6,BroadCSP_SVM,flagged,4608,142,4,0.22342404949784794,0.23943661971830985,0.18283696183953033,0.1585099539544962,0.22342404949784794,-0.02905455277460911
loso_s6,6,FBCSP_LDA,all,4608,576,4,0.3611111111111111,0.3611111111111111,0.29144180678390913,0.4213576311711934,0.3611111111111111,0.14814814814814814
loso_s6,6,FBCSP_LDA,unflagged,4608,434,4,0.3782587077014017,0.37327188940092165,0.2975394529396458,0.46010997109007423,0.3782587077014017,0.16773829667230677
loso_s6,6,FBCSP_LDA,flagged,4608,142,4,0.309440331010453,0.323943661971831,0.26957710409745295,0.3458921370967742,0.309440331010453,0.08485499462943069
loso_s6,6,FBCSP_MI8_LDA,all,4608,576,4,0.2690972222222222,0.2690972222222222,0.15971604047840635,0.2611471049580577,0.2690972222222222,0.02546296296296291
loso_s6,6,FBCSP_MI8_LDA,unflagged,4608,434,4,0.2792727903164796,0.28110599078341014,0.1684547271993624,0.3209789133446206,0.2792727903164796,0.04045579200238092
loso_s6,6,FBCSP_MI8_LDA,flagged,4608,142,4,0.2423107962697274,0.2323943661971831,0.1345614966828733,0.17660256410256409,0.2423107962697274,-0.017887675917400925
loso_s7,7,BroadCSP_LDA,all,4608,576,4,0.2690972222222222,0.2690972222222222,0.22287026450912256,0.4868851767325635,0.2690972222222222,0.02546296296296291
