fold,subject,seed,stratum,true_label,predicted_label,count,selection_rule,selected_epochs,model
loso_s2,2,20260926,all,4,1,79,mean_rank,13,EEGNet
loso_s2,2,20260926,all,4,2,21,mean_rank,13,EEGNet
loso_s2,2,20260926,all,4,3,43,mean_rank,13,EEGNet
loso_s2,2,20260926,all,4,4,1,mean_rank,13,EEGNet
loso_s2,2,20260926,unflagged,1,1,88,mean_rank,13,EEGNet
loso_s2,2,20260926,unflagged,1,2,17,mean_rank,13,EEGNet
loso_s2,2,20260926,unflagged,1,3,33,mean_rank,13,EEGNet
loso_s2,2,20260926,unflagged,1,4,0,mean_rank,13,EEGNet
loso_s2,2,20260926,unflagged,2,1,78,mean_rank,13,EEGNet
loso_s2,2,20260926,unflagged,2,2,20,mean_rank,13,EEGNet
loso_s2,2,20260926,unflagged,2,3,42,mean_rank,13,EEGNet
loso_s2,2,20260926,unflagged,2,4,0,mean_rank,13,EEGNet
loso_s2,2,20260926,unflagged,3,1,65,mean_rank,13,EEGNet
loso_s2,2,20260926,unflagged,3,2,17,mean_rank,13,EEGNet
loso_s2,2,20260926,unflagged,3,3,52,mean_rank,13,EEGNet
loso_s2,2,20260926,unflagged,3,4,1,mean_rank,13,EEGNet
loso_s2,2,20260926,unflagged,4,1,75,mean_rank,13,EEGNet
loso_s2,2,20260926,unflagged,4,2,21,mean_rank,13,EEGNet
loso_s2,2,20260926,unflagged,4,3,43,mean_rank,13,EEGNet
loso_s2,2,20260926,unflagged,4,4,1,mean_rank,13,EEGNet
loso_s2,2,20260926,flagged,1,1,5,mean_rank,13,EEGNet
loso_s2,2,20260926,flagged,1,2,0,mean_rank,13,EEGNet
loso_s2,2,20260926,flagged,1,3,1,mean_rank,13,EEGNet
loso_s2,2,20260926,flagged,1,4,0,mean_rank,13,EEGNet
loso_s2,2,20260926,flagged,2,1,0,mean_rank,13,EEGNet
loso_s2,2,20260926,flagged,2,2,2,mean_rank,13,EEGNet
loso_s2,2,20260926,flagged,2,3,2,mean_rank,13,EEGNet
loso_s2,2,20260926,flagged,2,4,0,mean_rank,13,EEGNet
loso_s2,2,20260926,flagged,3,1,4,mean_rank,13,EEGNet
loso_s2,2,20260926,flagged,3,2,1,mean_rank,13,EEGNet
loso_s2,2,20260926,flagged,3,3,4,mean_rank,13,EEGNet
loso_s2,2,20260926,flagged,3,4,0,mean_rank,13,EEGNet
