fold,subject,stage,inner_fold,seed,selected_epochs,selection_rule,epoch,train_ce,val_ce
loso_s4,4,full,,20260924,10,mean_rank,4,1.1795498066478305,
loso_s4,4,full,,20260924,10,mean_rank,5,1.154133669204182,
loso_s4,4,full,,20260924,10,mean_rank,6,1.1267483250962362,
loso_s4,4,full,,20260924,10,mean_rank,7,1.1043331631355815,
loso_s4,4,full,,20260924,10,mean_rank,8,1.1023797616362572,
loso_s4,4,full,,20260924,10,mean_rank,9,1.0942450662453969,
loso_s4,4,full,,20260924,10,mean_rank,10,1.0751806009146905,
loso_s4,4,full,,20260925,10,mean_rank,1,1.379106221927537,
loso_s4,4,full,,20260925,10,mean_rank,2,1.3244602580865223,
loso_s4,4,full,,20260925,10,mean_rank,3,1.2534330172671213,
loso_s4,4,full,,20260925,10,mean_rank,4,1.1957026107443705,
loso_s4,4,full,,20260925,10,mean_rank,5,1.1669886691702738,
loso_s4,4,full,,20260925,10,mean_rank,6,1.1378582550419702,
loso_s4,4,full,,20260925,10,mean_rank,7,1.1216569741566975,
loso_s4,4,full,,20260925,10,mean_rank,8,1.096248419748412,
loso_s4,4,full,,20260925,10,mean_rank,9,1.087149702012539,
loso_s4,4,full,,20260925,10,mean_rank,10,1.074002854526043,
loso_s4,4,full,,20260926,10,mean_rank,1,1.3804479489723842,
loso_s4,4,full,,20260926,10,mean_rank,2,1.3315804766284094,
loso_s4,4,full,,20260926,10,mean_rank,3,1.250244516465399,
loso_s4,4,full,,20260926,10,mean_rank,4,1.1875881519582536,
loso_s4,4,full,,20260926,10,mean_rank,5,1.1381450924608445,
loso_s4,4,full,,20260926,10,mean_rank,6,1.1091782392727003,
loso_s4,4,full,,20260926,10,mean_rank,7,1.0835139991508589,
loso_s4,4,full,,20260926,10,mean_rank,8,1.0752793186240726,
loso_s4,4,full,,20260926,10,mean_rank,9,1.0557502234975498,
loso_s4,4,full,,20260926,10,mean_rank,10,1.0481354023019471,
loso_s5,5,full,,20260924,17,mean_rank,1,1.3701040976577334,
loso_s5,5,full,,20260924,17,mean_rank,2,1.3101035671101675,
loso_s5,5,full,,20260924,17,mean_rank,3,1.2555136531591415,
loso_s5,5,full,,20260924,17,mean_rank,4,1.1986905965540144,
loso_s5,5,full,,20260924,17,mean_rank,5,1.1562742955154843,
